speaker,segment,debate
TAPPER,(APPLAUSE),Detroit-MI
HARRIS,"Yeah, let’s talk about math. Let’s talk about math. Let’s talk about the fact that the pharmaceutical companies and the insurance companies last year alone profited $72 billion, and that is on the backs of American families.",Detroit-MI
HARRIS,"And under your plan, status quo, you do nothing to hold the insurance companies to task for what they have been doing to American families. In America today, diabetes patients, one in four cannot afford their insulin. In America today...",Detroit-MI
TAPPER,"Thank you, Senator.",Detroit-MI
HARRIS,"... for those people who have overdosed from an opioid, there is a syringe that costs $4,000 that will save their life.",Detroit-MI
TAPPER,"Thank you, Senator.",Detroit-MI
HARRIS,It is immoral. It is untenable.,Detroit-MI
TAPPER,"Thank you, Senator.",Detroit-MI
HARRIS,And it must change with Medicare for All.,Detroit-MI
TAPPER,"Your time is up, Senator. Vice President Biden, your response?",Detroit-MI
TAPPER,(APPLAUSE),Detroit-MI
BIDEN,"Real quick. I have the only plan that limits the ability of insurance companies to charge unreasonable prices, flat out, number one.",Detroit-MI
BIDEN,"Number two, we should put some of these insurance executives who totally oppose my plan in jail for of the $9 billion opioids they sell out there.",Detroit-MI
BIDEN,(APPLAUSE),Detroit-MI
BIDEN,They are misrepresenting to the American people what needs to be done.,Detroit-MI
BIDEN,"And, lastly, here's the deal. The deal is, let's figure out how this works. We immediately are able to cover everybody who wants to get off of their insurance plan they don't like, no matter what one it is, and buy into a Medicare option. And they can buy the gold plan, and they're not going to have to pay -- anyway...",Detroit-MI
LEMON,"Thank you, Mr. Vice President. Thank you.",Detroit-MI
LEMON,"Let's move now to immigration, please. Secretary Castro, you think it should no longer be a crime to cross the U.S. border illegally. President Obama's homeland security secretary, Jeh Johnson, whom you served with, says that is a public declaration that the border is, quote, ""effectively open to all."" How is he wrong?",Detroit-MI
CASTRO,"Thank you for that question. You know, if you elect me president, you're not electing me to follow. You're electing me to lead. And open borders is a right-wing talking point, and frankly I'm disappointed that some folks, including some folks on this stage, have taken the bait.",Detroit-MI
CASTRO,"The only way that we’re going to guarantee that we don’t have family separations in this country again is to repeal Section 1325 of the Immigration Nationality Act. That is the law that this president, this administration is using to incarcerate migrant parents and then physically separate them from their children.",Detroit-MI
CASTRO,"My immigration plan would also make sure that we put undocumented immigrants who haven't committed a serious crime on a pathway to citizenship, that we do a 21st century Marshall Plan with Honduras, El Salvador, and Guatemala, so that we can get to the root of this challenge so people can find safety and opportunity at home instead of having to come to the United States. That's how we can be smarter, more effective, and more humane when it comes to immigration policy.",Detroit-MI
LEMON,"Thank you, Secretary Castro.",Detroit-MI
LEMON,(APPLAUSE),Detroit-MI
LEMON,"Senator Bennet, what's your response?",Detroit-MI
BENNET,"I disagree that we should decriminalize our border. This is personal for me. My mom is an immigrant, and she was separated from her parents during the Holocaust in Poland.",Detroit-MI
BENNET,"And for those reasons, I was part of the Gang of Eight that wrote -- I wrote the immigration bill in 2013 with John McCain that passed the Senate with 68 votes, that gave a pathway to citizenship for the 11 million undocumented people that are here, that would pass the most progressive DREAM Act that had ever been conceived, much less passed on the floor of the Senate, and had $46 billion of border security. Every single Democrat voted for that bill...",Detroit-MI
LEMON,Senator...,Detroit-MI
BENNET,... and a lot of Republicans. That should be our position.,Detroit-MI
LEMON,"Thank you. Thank you, Senator.",Detroit-MI
BENNET,That is our position as Democrats.,Detroit-MI
LEMON,"Senator Harris, you have indicated that you don't think it should be a criminal offense punishable by jail to cross the U.S. border illegally. How do you respond to Senator Bennet?",Detroit-MI
HARRIS,"Well, again, with all due respect, you know, I -- after the last debate, for example, I went to a place in Florida called Homestead, and there is a private detention facility being paid for by your taxpayer dollars, a private detention facility that currently houses 2,700 children.",Detroit-MI
HARRIS,"And by the way, there were members of us -- Julian was there, members of Congress, they would not let us enter the place, members of the United States Congress. So I walked down the road, I climbed a ladder, and I looked over the fence. And I'm going to tell you what I saw. I saw children lined up single file based on gender being walked into barracks. The policies of this administration have been facilitated by laws on the books...",Detroit-MI
LEMON,"Thank you, Senator.",Detroit-MI
HARRIS,... that allow them to be incarcerated as though they've committed crimes.,Detroit-MI
LEMON,"Thank you, Senator.",Detroit-MI
HARRIS,These children have not committed crimes...,Detroit-MI
LEMON,"Thank you, Senator Harris.",Detroit-MI
HARRIS,... and should be not treated like criminals.,Detroit-MI
HARRIS,(APPLAUSE),Detroit-MI
LEMON,"Senator Bennet, what's your response?",Detroit-MI
LEMON,(APPLAUSE),Detroit-MI
BENNET,I think this is one in the end that we agree with. There’s not a single person on this stage if we were president would ever separate a child from their parents at the border. And that is what this...,Detroit-MI
BENNET,(APPLAUSE),Detroit-MI
BENNET,"That is what this administration has done in the American people's name. They have turned our border into a symbol of nativist hostility. The symbol of this country before Donald Trump was president was the Statue of Liberty. That should be the symbol of the United States of America, not Donald Trump's words.",Detroit-MI
LEMON,"Thank you, Senator Bennet.",Detroit-MI
LEMON,"Senator Gillibrand, I want to bring you in. What's your response?",Detroit-MI
GILLIBRAND,"So I think when you talk about whether this should be a crime, you have to remember who we're talking about. When I was at the Texas border, I visited with women who had fled violence. A woman from El Salvador owned a small business, gangs came to her and said if you don't give us all your money, we're going to kill your family. That's why she fled.",Detroit-MI
GILLIBRAND,Another woman was raped.,Detroit-MI
GILLIBRAND,That's why she fled.,Detroit-MI
GILLIBRAND,"So this is who we're talking about -- and they're not criminals. So I believe that we should have a civil violation. No president before President Trump enforced the law in the way he has enforced it. Because he's using it as the crutch to lock up women and children, to separate mothers and babies, to put them behind bars.",Detroit-MI
GILLIBRAND,So I don't think we should have a law on the books that can be so misused. It should be a civil violation and we should make sure that we treat people humanely.,Detroit-MI
LEMON,"Thank you, Senator.",Detroit-MI
LEMON,(APPLAUSE),Detroit-MI
LEMON,"Vice President Biden, in the first two years of the Obama administration, nearly 800,000 immigrants were deported, far more than during President Trump's first two years. Would the higher deportation rates resume if you were president?",Detroit-MI
BIDEN,"Absolutely not, number one. Number two, everything landed on the president's desk but locusts. I found that Julian -- excuse me -- the secretary, we sat together in many meetings. I never heard him talk about any of this when he was the secretary.",Detroit-MI
(UNKNOWN),Three million (inaudible),Detroit-MI
LEMON,Please be respectful. Please be respectful in the crowd.,Detroit-MI
(UNKNOWN),Three million (inaudible),Detroit-MI
LEMON,"Please continue, Mr. Vice President.",Detroit-MI
(UNKNOWN),Three million (inaudible),Detroit-MI
BIDEN,The fact is -- the fact is...,Detroit-MI
(UNKNOWN),Three million (inaudible),Detroit-MI
BIDEN,I don't know if you can hear. I can hear. But anyway...,Detroit-MI
LEMON,"We can hear fine, Mr. Vice President.",Detroit-MI
BIDEN,OK.,Detroit-MI
BIDEN,(LAUGHTER),Detroit-MI
LEMON,"Please continue, if you will.",Detroit-MI
BIDEN,"The fact is what the senator from New York talked about is seeking asylum. That woman, the women she spoke to are entitled to asylum. That is not crossing the border illegally. What we should do is flood the zone to make sure we have people to make those decisions quickly.",Detroit-MI
BIDEN,"With regard to -- with regard to the secretary's point, I already proposed and passed...",Detroit-MI
BIDEN,(APPLAUSE),Detroit-MI
BIDEN,"... $750 million for Guatemala, El Salvador and Honduras, to be able to change the circumstance why people fled in the first place.",Detroit-MI
BIDEN,"In addition to that, we're in a circumstance where if in fact you say you can just cross the border, what do you say to all those people around the world who in fact want the same thing to come to the United States and make their case, that they don't -- that they have to wait in line. The fact of the matter is, you should be able to -- if you cross the border illegally, you should be able to be sent back. It's a crime. It's a crime, and it's not one that in fact...",Detroit-MI
LEMON,"Thank -- thank you, Mr. Vice President. Secretary Castro, please, your response?",Detroit-MI
LEMON,(APPLAUSE),Detroit-MI
CASTRO,"Yeah, first of all, Mr. Vice President, it looks like one of us has learned the lessons of the past and one of us hasn't.",Detroit-MI
CASTRO,(APPLAUSE),Detroit-MI
CASTRO,"Let me begin by telling you -- let me just start out by answering that question. My immigration plan would also fix the broken legal immigration system, because we do have a problem with that.",Detroit-MI
BIDEN,I agree.,Detroit-MI
CASTRO,"Secondly, the only way that we're going to guarantee that these kinds of family separations don't happen in the future is that we need to repeal this law. There's still going to be consequences if somebody crosses the border. It's a civil action. Also, we have 654 miles of fencing. We have thousands of personnel at the border. We have planes; we have boats; we have helicopters; we have security cameras...",Detroit-MI
LEMON,"Secretary Castro, thank you.",Detroit-MI
CASTRO,What we need are politicians that actually...,Detroit-MI
LEMON,Your time is up.,Detroit-MI
CASTRO,... have some guts on this issue.,Detroit-MI
LEMON,"Thank you, Secretary.",Detroit-MI
LEMON,(APPLAUSE),Detroit-MI
LEMON,"Mr. Vice President, please, your response?",Detroit-MI
BIDEN,"I have guts enough to say his plan doesn't make sense. Here's the deal. The fact of the matter is that, in fact, when people cross the border illegally, it is illegal to do it unless they're seeking asylum. People should have to get in line. That's the problem. And the only reason this particular part of the law is being abused is because of Donald Trump. We should defeat Donald Trump and end this practice.",Detroit-MI
BIDEN,(APPLAUSE),Detroit-MI
LEMON,"Thank you. Congresswoman Gabbard, what's your response?",Detroit-MI
GABBARD,"Our hearts break when we see those children at these detention facilities who've been separated from their parents, when we see human beings crowded into cages in abhorrent, inhumane conditions. This is about leadership and understanding that we can and should have both secure borders as well as humane immigration policies.",Detroit-MI
GABBARD,"We will have to stop separating children from their parents, make it so that it’s easier for people to seek asylum in this country, make sure that we are securing our borders and making it so that people are able to use our legal immigration system by reforming those laws.",Detroit-MI
LEMON,"Mr. Yang, your response?",Detroit-MI
LEMON,(APPLAUSE),Detroit-MI
YANG,I'm the son of immigrants myself. My father immigrated here as a graduate student and generated over 65 U.S. patents for G.E. and IBM. I think that's a pretty good deal for the United States. That's the immigration story we need to be telling.,Detroit-MI
YANG,"We can’t always be focusing on some of the -- the -- the distressed stories. And if you go to a factory here in Michigan, you will not find wall-to-wall immigrants; you will find wall-to-wall robots and machines. Immigrants are being scapegoated for issues they have nothing to do with in our economy.",Detroit-MI
YANG,(APPLAUSE),Detroit-MI
LEMON,"Thank you, Mr. Yang. Senator Booker you have a plan that would, quote, ""virtually eliminate immigration detention."" Does that mean that the roughly 55,000 migrants currently in detention would be released into the United States?",Detroit-MI
BOOKER,"Well, first of all, I just want to say, again, tonight, we are playing into Republican hands who have a very different view, and they're trying to divide us against each other. I'm listening to the language of my colleagues. No, Mr. Vice President, we are not going to just let people cross the border. An unlawful crossing is an unlawful crossing, if you do it in the civil courts, or if you do in the criminal courts.",Detroit-MI
BOOKER,"But the criminal courts is what is giving Donald Trump the ability to truly violate the human rights of people coming to our country, who no one surrenders their human rights. And so, doing it through the civil courts means that you won't need these awful detention facilities that I have been to; seeing children sleeping on pavement, people being put in cages, nursing mothers, small children.",Detroit-MI
BOOKER,"This is not necessary. We have seen, using the civil system, piloted programs that have 100 percent compliance with the civil courts, where people are evaluated. If they have no justifiable reason to be here, they are returned. If they are, like the people I met in Juarez, who were survivors of sexual assault, who we wouldn't even let come and present for asylum. We are butchering our values -",Detroit-MI
LEMON,Senator -,Detroit-MI
BOOKER,- and making ourselves less safe.,Detroit-MI
LEMON,"Senator Booker, thank you very much. Mr. Vice President, your response?",Detroit-MI
BIDEN,"I agree with the Senator. The asylum process is a real process, and this president is ruining it. It has nothing to do with that section of law. That's what he's doing, number one. Number two, we should in fact - and we had proposed and we tried to get passed in our administration, I proposed, significantly increasing the number of legal immigrants who are able to come.",Detroit-MI
BIDEN,This country can tolerate a heck of a lot more people. And the reason we're the country we are is we've been able to cherry pick from the best of every culture. Immigrants built this country. That's why we're so special. It took courage. It took resilience. It took absolutely confidence for them to come. And we should be encouraging these people.,Detroit-MI
LEMON,Thank you.,Detroit-MI
BIDEN,"And by the way, anybody that crosses the stage with a - with a - with a PhD, you should get a green card for seven years. We should keep them here.",Detroit-MI
LEMON,"Thank you. Thank you very much, Mr. Vice President. Governor Inslee, what's your response?",Detroit-MI
INSLEE,"I think we're missing two central statements we need to make. Number one, we can no longer allow a white nationalist to be in the White House, number one.",Detroit-MI
INSLEE,(APPLAUSE),Detroit-MI
INSLEE,"And number two - number two, we have to make America what it's always been, a place of refuge. We got to boost the number of people we accept. I'm proud of being the first governor saying send us your Syrian refugees. I'm proud to have been the first governor to stand up against Donald Trump's Muslim ban. I'm proud to have sued him 21 times and beat him 21 times in a row. I'm ready for November 2020.",Detroit-MI
INSLEE,(APPLAUSE),Detroit-MI
LEMON,"Go ahead. Mayor de Blasio, please your response?",Detroit-MI
BLASIO,"Two points. One, it's all kind of charade because there's 11 million people here, and everyone, in theory, has broken the law, but they're part of our communities now. They're part of our economy. They're our neighbors. Why are we even discussing on one level whether it's a civil penalty or a criminal penalty, when it's an American reality?",Detroit-MI
BLASIO,"And what we need is comprehensive immigration, once and for all, to fix it. Second, Vice President Biden, I didn't hear your response when the issue came up of all those deportations. You were vice president of the United States. I didn't hear whether you tried to stop them or not, using your power, your influence in the White House. Do you think it was a good idea, or do you think it was something that needed to be stopped?",Detroit-MI
LEMON,Mr. Vice President -,Detroit-MI
BIDEN,"The president came along, and he's the guy that came up with the idea the first time ever, dealing with the dreamers. He put that in the law. He had talked about a comprehensive plan which he put on the - laid before the Congress, saying that we should find a pathway to citizenship for people. He said we should up the number of people that we're able to bring in to this country.",Detroit-MI
BIDEN,"Lastly, he also pointed out that we should go to the source of the problem and fix it where people were leaving in the first place. So he did - to compare him to Donald Trump, I think is absolutely bizarre.",Detroit-MI
LEMON,"Thank you very much, Mr. Vice President. Congresswoman Gabbard, you are a co-sponsor of the College for All Act which would make public colleges and universities free for all Americans. One of the authors of that plan, Senator Sanders, believes college should be tuition-free for undocumented immigrants as well. Do you?",Detroit-MI
GABBARD,I don't. I think it's important for us to fix our legal immigration system and look at the millions of undocumented immigrants in this country who have been suffering as they've been living in the shadows.,Detroit-MI
GABBARD,"And instead of putting a band-aid on this problem, fix our legal immigration system to provide them with that pathway to legal residency or citizenships, that they are no longer treated as second-class citizens in this country. We've got to look at the challenge that people all across the country are facing, under crushing student debt.",Detroit-MI
GABBARD,"This is something that is impacting my generation in a huge way and I believe that it is our generation that has the bold, creative solutions to be able to solve it. This is about promise for our future and we've got to make those kinds of investments.",Detroit-MI
LEMON,"Thank you, Congresswoman. Mayor de Blasio, what's your response?",Detroit-MI
BLASIO,"Yes, I -- I agree with the congress member but I don't hear an answer from the vice president. I'm confused. I asked the vice president point blank, did he use his power to stop those deportations. He went right around the question.",Detroit-MI
BLASIO,"Mr. Vice President, you want to be president of the United States, you need to be able to answer the tough questions. I guarantee you if you're debating Donald Trump he's not going to let you off the hook. So did you say those deportations were a good idea or did you go to the president and say this is a mistake, we shouldn't do it. Which one?",Detroit-MI
BIDEN,I was vice president. I am not the president. I keep my recommendation to him in private. Unlike you I can expect you would go ahead and say whatever was said privately with him. That is not what I do.,Detroit-MI
BIDEN,What I do say to you is he moved to fundamentally change the system. That's what he did. That's who did. But much more has to be done. Much more has to be done.,Detroit-MI
BLASIO,I still don't hear an answer.,Detroit-MI
LEMON,"Senator Booker, please respond.",Detroit-MI
BOOKER,"Well, a couple of things. First of all, Mr. Vice President, you can't have it both ways. You invoke President Obama more than anybody in this campaign. You can't do it when it's convenient and then dodge it when it's not.",Detroit-MI
BOOKER,"And the second thing that this really irks me because I heard the vice president say that if you got a PhD., you can come right into this country. Well that’s playing into what the republicans want, to pit some immigrants against other immigrants.",Detroit-MI
BOOKER,From are from shithole countries and some are from worthy countries. We need to reform this whole immigration system and begin to be the country that says everyone has worth and dignity and this should be a country that honors for everyone.,Detroit-MI
BOOKER,(APPLAUSE),Detroit-MI
BOOKER,Don't let the republicans divide this party against itself.,Detroit-MI
LEMON,"Senator, thank you. Mr. Vice President, your response.",Detroit-MI
BIDEN,The fact is that's what I said about this country. We are a country of immigrants. All of us. All of us. Some here came against their will; others came because they in fact thought they could fundamentally change their lives. And they did.,Detroit-MI
BIDEN,"(Inaudible) that’s what we’re talking about. That’s what made us great. And the fact of the matter is, I think the president of the United States, Barack Obama, went out of his way to try to change the system and he got pushed back significantly.",Detroit-MI
LEMON,"Senator Gillibrand, what's your response?",Detroit-MI
GILLIBRAND,"Again, President Trump, under his administration seven children died in his custody. In -- under his administration families have been torn apart. This party is talking about real ideas for the future. We’re talking about what we will do to change America.",Detroit-MI
GILLIBRAND,"But we must not forget about our values. We used to believe in this country you should treat others the way you want to be treated. We used to believe in this country we should care about the least among us. Let's remind the American people who we are, why we are democrats, and why we're running for president.",Detroit-MI
LEMON,"Senator Gillibrand, thank you very much. The debate will be right back right after this short break.",Detroit-MI
LEMON,(COMMERCIAL BREAK),Detroit-MI
TAPPER,Welcome back to the CNN Democratic presidential debate. We are live from Detroit.,Detroit-MI
TAPPER,"I want to turn now to criminal justice. Mr. Vice President, Senator Booker called your new criminal justice reform plan, quote, ""an inadequate solution to what is a raging crisis in our country,"" unquote. Why is Senator Booker wrong?",Detroit-MI
BIDEN,"Well, I don't -- I think he is wrong. I think we should work together. He has a similar plan. I think that we should change the way we look at prisons.",Detroit-MI
BIDEN,"Right now, we're in a situation where, when someone is convicted of a drug crime, they end up going to jail and to prison. They should be going to rehabilitation. They shouldn't be going to prison. When in prison, they should be learning to read and write and not just sit in there and learn how to be better criminals.",Detroit-MI
BIDEN,"And when they get out of prison, they should be in a situation where they have access to everything they would have had before, including Pell grants for education, including making sure that they're able to have housing, public housing, including they have all the opportunities that were available to them because we want them to become better citizens.",Detroit-MI
BIDEN,"That's the essence of what my plan, in detail, lays out. I'm happy to discuss it more in detail if the senator would want to. And so I -- you know, I look -- anyway, that's what I think my plan -- I know what my plan does, and I think it's not dissimilar to what the senator said we should be working together on getting things done.",Detroit-MI
TAPPER,"Senator Booker, your response?",Detroit-MI
BOOKER,"Well, my response is that this is a crisis in our country because we have treated issues of race and poverty, mental health and addiction with locking people up and not lifting them up.",Detroit-MI
BOOKER,And...,Detroit-MI
BOOKER,(APPLAUSE),Detroit-MI
BOOKER,"... Mr. Vice President has said that, since the 1970s, every major crime bill -- every crime bill, major and minor, has had his name on it. And, Sir, those are your words, not -- not mine. And this is one of those instances where the house was set on fire and you claimed responsibility for those laws. And you can't just now come out with a plan to put out that fire. We have got to have far more bold action on criminal justice reform, like having true...",Detroit-MI
TAPPER,"Thank you, Senator.",Detroit-MI
BOOKER,"... marijuana justice, which means that we legalize it on a federal level...",Detroit-MI
TAPPER,"Thank you, Senator Booker.",Detroit-MI
BOOKER,... and reinvest the profits in communities that have been...,Detroit-MI
TAPPER,"Thank you, Senator Booker.",Detroit-MI
BOOKER,... disproportionately targeted by marijuana enforcement.,Detroit-MI
TAPPER,"Vice President Biden, I want to give you a chance to respond.",Detroit-MI
BIDEN,"The fact is that the bills that the president -- that, excuse me, the future president here -- that...",Detroit-MI
BIDEN,(LAUGHTER),Detroit-MI
BIDEN,"... that the senator is talking about are bills that were passed years ago and they were passed overwhelming. Since 2007, I, for example, tried to get the crack-powder-cocaine totally -- disparity totally eliminated.",Detroit-MI
BIDEN,"In 2007 you became mayor and you had a police department that was -- you went out and you hired Rudy Giuliani's guy; you -- and engaged in stop-and-frisk. You had 75 percent of those stops reviewed as illegal. You found yourself in a situation where three times as many African-American kids were caught in that chain and caught up. The Justice Department came after you for saying you were -- you were engaging in behavior that was inappropriate, and then in fact nothing happened, the entire time you were mayor.",Detroit-MI
TAPPER,"Thank you. Senator Booker, you want to respond?",Detroit-MI
BOOKER,"Well, first of all, I’m grateful that he endorsed my presidency already. But I’ll tell you this, it’s no secret that I inherited a criminal -- a police department with massive problems and decades-long challenges. But the head of the ACLU has already said -- the head of the New Jersey ACLU -- that I put forth national standard-setting accountability.",Detroit-MI
BIDEN,That's...,Detroit-MI
BOOKER,"Mr. Vice President -- Mr. Vice President, I didn't interrupt you. Please show me that respect, sir.",Detroit-MI
BIDEN,I'm sorry (inaudible),Detroit-MI
BOOKER,"We have a system right now that's broken. And if you want to compare records -- and, frankly, I'm shocked that you do...",Detroit-MI
BOOKER,(LAUGHTER),Detroit-MI
BOOKER,"... I am happy to do that. Because all the problems that he is talking about, that he created, I actually led the bill that got passed into law that reverses the damage that your bills that you were, frankly -- to correct you, Mr. Vice President -- you were bragging, calling it the Biden crime bill, up until 2015.",Detroit-MI
TAPPER,"Thank you, Senator. Vice President Biden?",Detroit-MI
BIDEN,"Number one, the bill he talks about is a bill that in my -- our administration, we passed. We passed that bill that you added onto. That's the bill, in fact, you passed.",Detroit-MI
BIDEN,"And the fact of the matter is, secondly, there was nothing done for the entire eight years he was mayor, there was nothing done to deal with the police department that was corrupt. Why did you announce on the first day a zero tolerance policy of stop and frisk and hire Rudy Giuliani's guy in 2007, when I was trying to get rid of the crack cocaine disparity?",Detroit-MI
BOOKER,"Mr. Vice President, there's a saying in my community, you're dipping into the Kool-Aid and you don't even know the flavor. You need to come to the city of Newark and see the reforms that we put in place. The New Jersey head of the ACLU has said that I embraced reforms not just in action, but in deeds.",Detroit-MI
BOOKER,"Sir, you are trying to shift the view from what you created. There are people right now in prison for life for drug offenses because you stood up and used that “tough on crime” phony rhetoric that got a lot of people elected but destroyed communities like mine. This isn’t about the past, sir. This is about the present right now. I believe in redemption.",Detroit-MI
TAPPER,"Thank you, Senator.",Detroit-MI
BOOKER,I'm happy you evolved.,Detroit-MI
TAPPER,I want to bring in Secretary...,Detroit-MI
BOOKER,But you've offered no redemption to the people in prison right now for life.,Detroit-MI
TAPPER,"I want to bring in Secretary Castro. Your response, sir?",Detroit-MI
TAPPER,(APPLAUSE),Detroit-MI
CASTRO,"Yeah, I agree with Senator Booker -- I agree with Senator Booker that a lot of what Vice President helped author in '94 was a mistake. And he has flip-flopped on these things. And that's clear.",Detroit-MI
CASTRO,"But let me say, when we talk about criminal justice reform, there are a lot of things that we can talk about -- sentencing reform, cash bail reform, investing in public defenders, diversion programs. I'm proud that I'm the only candidate that has put forward a police reform plan, because we have a police system that is broken and we need to fix it.",Detroit-MI
CASTRO,"And whether it's the case of someone like Tamir Rice or Michael Brown or Eric Garner, where the Trump Justice Department just decided not to pursue challenges...",Detroit-MI
CASTRO,(APPLAUSE),Detroit-MI
CASTRO,... we need to ensure we have a national use of force standard and that we end qualified immunity for police officers so that we can hold them accountable for using excessive force.,Detroit-MI
TAPPER,"Thank you, Secretary Castro.",Detroit-MI
TAPPER,(CROSSTALK),Detroit-MI
TAPPER,"I want to bring in -- I want to bring in Governor Inslee. Governor Inslee, your response?",Detroit-MI
INSLEE,"Let me suggest that people come out to the state of Washington and see what criminal justice reform looks like, our effort to reduce racial disparity.",Detroit-MI
INSLEE,"I'm proud that I was the first governor to offer pardons to thousands of people with drug crimes. Now we're vacating more, tens of thousands. We've eliminated the death penalty.",Detroit-MI
INSLEE,"And importantly, we've done this: When people come out of the legal system and they've done their responsibility to the citizens, we need to make sure they can get a job. We have banned the box so that people can actually get a job when they come out.",Detroit-MI
INSLEE,(APPLAUSE),Detroit-MI
INSLEE,"And I've got to argue with my friend, Secretary Castro. We haven't just put forward a plan. We have adopted probably one of the best police accountability measures and trainer police officers and de-escalation techniques so we have less violence...",Detroit-MI
INSLEE,(CROSSTALK),Detroit-MI
TAPPER,"Secretary -- Secretary Castro, your response to Governor Inslee?",Detroit-MI
CASTRO,"Well, that it's much more than that, because what we see -- and this was a good example, the other day, of the Department of Justice not going after Officer Pantaleo that -- Officer Pantaleo used a chokehold that was prohibited by NYPD. He did that for seven seconds. Eleven different times Eric Garner said that he couldn't breathe. He knew what he was doing, that he was killing Eric Garner, and yet he has not been brought to justice. That police officer should be off the street.",Detroit-MI
CASTRO,(APPLAUSE),Detroit-MI
TAPPER,"Mayor de Blasio? Mayor de Blasio, why is that police officer still on the force, the one who killed Eric Garner? Please respond.",Detroit-MI
BLASIO,"Well, let me tell you. I know the Garner family. They've gone through extraordinary pain. They are waiting for justice and are going to get justice. There's finally going to be justice. I have confidence in that, in the next 30 days, in New York.",Detroit-MI
BLASIO,"You know why? Because for the first time, we are not waiting on the federal Justice Department, which told the city of New York that we could not proceed because the Justice Department was pursuing their prosecution. And years went by, and a lot of the pain accrued.",Detroit-MI
BLASIO,"And in the meantime, what I'm working on is making sure -- and I have for five years -- there will never be another tragedy, there will never be another Eric Garner, because we're changing fundamentally how we police.",Detroit-MI
TAPPER,"Thank you, Mayor.",Detroit-MI
BLASIO,"But there's one last point I have to say about the Justice Department. The vice president for two-and-a-half of those years, Mr. Vice President, tell us, what did you do to try and spur on the Justice Department to act in the Garner case?",Detroit-MI
TAPPER,"Thank you. Thank you, Mayor. Thank you, Mayor de Blasio.",Detroit-MI
TAPPER,"Vice President Biden, you can respond to that.",Detroit-MI
BIDEN,"We did a lot. Number one, we made sure we reduced the federal prison population by 38,000 people, number one.",Detroit-MI
BIDEN,"Number two, we, in fact, insisted that we change the rules that police engage in. They had to have -- we provided for body cameras. We made sure -- there were a lot of things that were changed in the process, but 38,000 people in the federal system were released under the system.",Detroit-MI
BIDEN,"And so the fact is that there's a lot we've done. But here's the deal. The fact is that we're talking about things that occurred a long, long time ago. And now, all of a sudden, you know -- I find it fascinating. Everybody is talking about how terrible I am on these issues. Barack Obama knew exactly who I was. He had 10 lawyers do a background check on everything about me on civil rights and civil liberties, and he chose me, and he said it was the best decision he made. I'll take his judgment.",Detroit-MI
TAPPER,"Thank you, Mr. Vice President.",Detroit-MI
YANG,"May I, please?",Detroit-MI
TAPPER,"Mr. Yang, your response?",Detroit-MI
TAPPER,(APPLAUSE),Detroit-MI
YANG,I speak for just about everyone watching when I say I would trust anyone on this stage much more than I would trust our current president on matters of criminal justice.,Detroit-MI
YANG,(APPLAUSE),Detroit-MI
YANG,We cannot tear each other down. We have to focus on beating Donald Trump in 2020.,Detroit-MI
YANG,"I want to share a story that a prison guard, a corrections officer in New Hampshire said to me. He said, we should pay people to stay out of jail, because we spend so much when they're behind bars. Right now, we think we're saving money, we just end up spending the money in much more dark and punitive ways. We should put money directly into people's hands, certainly when they come out of prison, but before they go into prison.",Detroit-MI
TAPPER,"Thank you, Mr. Yang.",Detroit-MI
TAPPER,(APPLAUSE),Detroit-MI
TAPPER,I want to bring in Senator Gillibrand. You heard earlier Mayor de Blasio respond to Secretary Castro on the question of why the police officer who killed Eric Garner is still on the NYPD. Was that response adequate? Please respond.,Detroit-MI
GILLIBRAND,No. He should be fired. He should be fired now.,Detroit-MI
GILLIBRAND,(APPLAUSE),Detroit-MI
GILLIBRAND,"I sat -- I sat down with Eric Garner's mother. And I can tell you, when you've lost your son, when he begged for breath, when you know because you have a video, when you know he said ""I can't breathe"" so many times, over and over again, when you know he used an illegal chokehold, that person should be fired. And as -- if I was -- if I was the mayor, I would fire him.",Detroit-MI
GILLIBRAND,"But as president, I would make sure that we had a full investigation, that the report would be made public. And if I wasn't satisfied, we would have a consent decree.",Detroit-MI
TAPPER,I want to bring in Senator Harris now.,Detroit-MI
TAPPER,(APPLAUSE),Detroit-MI
TAPPER,"Senator Harris, you have also been quite critical of Vice President Biden's policies on race, specifically on the issues of busing in the 1970s, having benefitted from busing when you were a young child. Vice President Biden says that your current position on busing, you're opposed to federally mandated busing, that that position is the same as his position. Is he right?",Detroit-MI
HARRIS,"That is simply false. And let's be very clear about this. When Vice President Biden was in the United States Senate, working with segregationists to oppose busing, which was the vehicle by which we would integrate America's public schools, had I been in the United States Senate at that time, I would have been completely on the other side of the aisle.",Detroit-MI
HARRIS,"And let's be clear about this. Had those segregationists their way, I would not be a member of the United States Senate, Cory Booker would not be a member of the United States Senate, and Barack Obama would not have been in the position to nominate him to the title he now holds.",Detroit-MI
HARRIS,(APPLAUSE),Detroit-MI
HARRIS,"And so, on that issue, we could not be more apart, which is that the vice president has still failed to acknowledge that it was wrong to take the position that he took at that time.",Detroit-MI
HARRIS,"Now, I would like to also talk about this conversation about Eric Garner, because I, too, met with his mother. And one of the things that we've got to be clear about is that this president of the United States, Donald Trump, while he has been in office, has quietly been allowing the United States Department of Justice to shut down consent decrees, to stop pattern and practice investigations.",Detroit-MI
